participant,part2instr_presented,target_cor,variable,abs_err,variablef
801565,0,0.8,err_to_uncor,21.4675075047026,uncorr. part
801565,0,0,err_to_uncor,22.1835088213553,uncorr. part
801565,-1,1,err_to_uncor,23.9520559893007,uncorr. part
801565,-1,0,err_to_uncor,19.9614727110031,uncorr. part
801565,-1,0.8,err_to_uncor,20.7980107219269,uncorr. part
801973,0,0,err_to_uncor,16.136680552789,uncorr. part
801973,0,1,err_to_uncor,21.604523846187,uncorr. part
801973,0,0.8,err_to_uncor,30.149331920534,uncorr. part
801973,-1,0.8,err_to_uncor,19.2179465838892,uncorr. part
801973,-1,1,err_to_uncor,23.2228792256899,uncorr. part
801973,-1,0,err_to_uncor,30.45691321176,uncorr. part
802029,0,0.8,err_to_uncor,25.440862828892,uncorr. part
802029,0,0,err_to_uncor,21.066273040469,uncorr. part
802029,0,1,err_to_uncor,20.4839478200041,uncorr. part
802029,1,0.8,err_to_uncor,16.6616242437328,uncorr. part
802029,1,0,err_to_uncor,19.2208941250821,uncorr. part
802029,1,1,err_to_uncor,24.9928853704302,uncorr. part
803867,0,0.8,err_to_uncor,19.0587748595203,uncorr. part
803867,0,1,err_to_uncor,20.7010894573992,uncorr. part
803867,0,0,err_to_uncor,19.8860738879092,uncorr. part
803867,-1,1,err_to_uncor,17.8798920060481,uncorr. part
803867,-1,0.8,err_to_uncor,18.0722560010162,uncorr. part
