participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
21,63,perceptual,0.03,0.05,target,target,1,8.424
21,64,perceptual,0.03,0.05,competitor,competitor,0,19.559
21,65,numeric,0.1,0.05,target,target,1,6.702
21,66,perceptual,0.1,0.05,target,target,1,5.319
21,67,perceptual,0.1,0.2,competitor,competitor,0,6.521
21,68,perceptual,0.1,0.05,target,target,1,9.292
21,69,numeric,0.1,0.2,competitor,target,1,10.172
21,70,perceptual,0.1,0.05,target,decoy,0,8.494
21,71,perceptual,0.1,0.05,competitor,target,1,6.805
21,72,numeric,0.03,0.2,competitor,target,1,8.375
21,73,perceptual,0.1,0.2,target,competitor,0,15.09
21,74,perceptual,0.03,0.05,competitor,target,1,9.836
21,75,perceptual,0.03,0.05,competitor,decoy,0,5.654
21,76,numeric,0.1,0.2,target,target,1,5.76
21,77,perceptual,0.1,0.2,competitor,target,1,11.818
21,78,perceptual,0.03,0.2,competitor,competitor,0,5.538
21,79,numeric,0.1,0.05,target,target,1,8.315
21,80,perceptual,0.1,0.2,competitor,target,1,5.76
21,81,numeric,0.1,0.2,target,target,1,6.779
21,82,numeric,0.1,0.2,target,target,1,8.741
21,83,perceptual,0.03,0.05,competitor,decoy,0,16.136
21,84,perceptual,0.03,0.2,target,target,1,7.807
21,85,perceptual,0.03,0.2,target,target,1,11.503
21,86,numeric,0.1,0.05,competitor,target,1,11.493
21,87,numeric,0.03,0.2,target,target,1,6.108
21,88,numeric,0.03,0.2,target,competitor,0,5.81
21,89,perceptual,0.1,0.2,competitor,competitor,0,7.293
21,90,numeric,0.1,0.05,competitor,target,1,9.624
21,91,perceptual,0.03,0.2,target,target,1,3.735
21,92,numeric,0.03,0.2,competitor,competitor,0,13.843
21,93,numeric,0.03,0.2,target,target,1,6.393
21,94,perceptual,0.03,0.2,target,target,1,5.885
21,95,perceptual,0.1,0.2,target,target,1,13.522
21,96,numeric,0.1,0.05,target,target,1,10.726
21,97,perceptual,0.1,0.2,target,competitor,0,19.08
21,98,numeric,0.03,0.2,competitor,target,1,5.141
21,99,numeric,0.1,0.2,target,target,1,18.341
21,100,numeric,0.03,0.05,competitor,target,1,5.576
21,101,numeric,0.1,0.05,competitor,target,1,7.157
21,102,perceptual,0.03,0.05,target,target,1,7.766
21,103,numeric,0.1,0.05,target,target,1,8.352
21,104,numeric,0.03,0.05,target,target,1,9.185
21,105,numeric,0.03,0.2,target,target,1,7.62
21,106,numeric,0.1,0.2,competitor,competitor,0,6.298
21,107,numeric,0.1,0.2,target,target,1,6.444
21,108,perceptual,0.1,0.2,competitor,target,1,5.32
